power_roi,power_x,power_y,power_z,matched_region_value,matched_region_name,matched_region_x,matched_region_y,matched_region_z,distance_mm
126,-34,-38,-16,5401.0,Region_5401.0,-31.389610389610397,-41.40519480519481,-21.60606060606061,7.0595609706397715
127,28,-77,-32,9012.0,Region_9012.0,32.673594709494566,-70.39678790741615,-41.20170051960321,12.252191228540593
128,52,7,-30,8212.0,Region_8212.0,44.04043807919124,13.246840775063191,-33.51811288963774,10.71236500238935
129,-53,3,-27,8121.0,Region_8121.0,-40.15408560311283,13.867704280155635,-21.436575875486383,17.72219515190729
130,47,-50,29,6222.0,Region_6222.0,45.22831050228311,-61.23858447488584,37.31506849315069,14.09202003693057
131,-49,-42,1,8201.0,Region_8201.0,-55.86887899635775,-34.98421691622825,-3.584783488466215,10.836187086851858
132,-31,19,-19,8121.0,Region_8121.0,-40.15408560311283,13.867704280155635,-21.436575875486383,10.773794344707563
133,-2,-35,31,4021.0,Region_4021.0,-5.205183585313179,-44.172786177105834,23.27861771058315,12.41100127007427
134,-7,-71,42,6301.0,Region_6301.0,-7.590702947845799,-57.324829931972786,46.64002267573696,14.452993350632052
135,11,-66,42,6302.0,Region_6302.0,9.688820826952522,-57.31393568147014,42.36079632465544,8.791875690508592
136,4,-48,51,6302.0,Region_6302.0,9.688820826952522,-57.31393568147014,42.36079632465544,13.919336206292972
137,-46,31,-13,2321.0,Region_2321.0,-36.24023668639053,29.49230769230769,-13.459171597633137,9.886200209808862
138,-10,11,67,2401.0,Region_2401.0,-5.690731252911036,3.550069864927792,60.06427573358175,11.053303906609898
139,49,35,-12,2322.0,Region_2322.0,40.9103690685413,30.99472759226714,-13.258347978910372,9.114152473125921
140,8,-91,-7,5001.0,Region_5001.0,-7.482728077945083,-79.82108060230291,5.103631532329501,22.60931232714074
141,17,-91,-14,5302.0,Region_5302.0,37.870576339737106,-83.19110212335693,-8.99292214357937,22.839235351930956
142,-12,-95,-13,5001.0,Region_5001.0,-7.482728077945083,-79.82108060230291,5.103631532329501,24.05300011137749
143,18,-47,-10,9032.0,Region_9032.0,17.888501742160273,-44.16492450638792,-19.354239256678284,9.775064040054273
144,40,-72,14,5202.0,Region_5202.0,37.127740705433744,-80.99332697807435,18.06768350810296,10.279876103916573
145,8,-72,11,5002.0,Region_5002.0,15.709833422890924,-74.44922084900591,8.019344438473937,8.621167076004703
146,-8,-81,7,5001.0,Region_5001.0,-7.482728077945083,-79.82108060230291,5.103631532329501,2.292080834697547
147,-28,-79,19,5201.0,Region_5201.0,-32.617125382263,-82.02140672782875,14.767584097859327,6.954141915376713
148,20,-66,2,5022.0,Region_5022.0,16.077391304347827,-68.14173913043479,-5.215652173913043,8.487611075970529
149,-24,-91,19,5101.0,Region_5101.0,-16.756954612005856,-85.61054172767203,26.853587115666173,11.96606859185862
150,27,-59,-9,5022.0,Region_5022.0,16.077391304347827,-68.14173913043479,-5.215652173913043,14.737573189506747
151,-15,-72,-8,5021.0,Region_5021.0,-14.858233890214791,-68.86491646778043,-6.00763723150358,3.7173049088242243
152,-18,-68,5,5021.0,Region_5021.0,-14.858233890214791,-68.86491646778043,-6.00763723150358,11.479845478281337
153,43,-78,-12,5302.0,Region_5302.0,37.870576339737106,-83.19110212335693,-8.99292214357937,7.893101138092738
154,-47,-76,-10,5301.0,Region_5301.0,-36.48246546227418,-79.56854410201913,-9.164718384697132,11.137806567595526
155,-14,-91,31,5101.0,Region_5101.0,-16.756954612005856,-85.61054172767203,26.853587115666173,7.33756083512732
156,15,-87,37,5012.0,Region_5012.0,13.18960674157303,-80.58988764044943,26.85252808988764,12.138296848353153
157,29,-77,25,5102.0,Region_5102.0,23.963198867657468,-82.206652512385,29.26539278131635,8.40667423006255
158,20,-86,-2,5002.0,Region_5002.0,15.709833422890924,-74.44922084900591,8.019344438473937,15.88122448777682
159,15,-77,31,5012.0,Region_5012.0,13.18960674157303,-80.58988764044943,26.85252808988764,5.776360468874884
160,-16,-52,-1,5021.0,Region_5021.0,-14.858233890214791,-68.86491646778043,-6.00763723150358,17.629675775719942
161,42,-66,-8,5302.0,Region_5302.0,37.870576339737106,-83.19110212335693,-8.99292214357937,17.70796505431486
162,24,-87,24,5102.0,Region_5102.0,23.963198867657468,-82.206652512385,29.26539278131635,7.120526357082389
163,6,-72,24,5012.0,Region_5012.0,13.18960674157303,-80.58988764044943,26.85252808988764,11.55913194308363
164,-42,-74,0,5301.0,Region_5301.0,-36.48246546227418,-79.56854410201913,-9.164718384697132,12.060013841697486
165,26,-79,-16,5302.0,Region_5302.0,37.870576339737106,-83.19110212335693,-8.99292214357937,14.407465416646803
166,-16,-77,34,5101.0,Region_5101.0,-16.756954612005856,-85.61054172767203,26.853587115666173,11.215419129127127
167,-3,-81,21,5011.0,Region_5011.0,-6.2568807339449535,-81.42463958060289,25.838794233289647,5.848206607215032
168,-40,-88,-6,5301.0,Region_5301.0,-36.48246546227418,-79.56854410201913,-9.164718384697132,9.668399052486942
169,37,-84,13,5202.0,Region_5202.0,37.127740705433744,-80.99332697807435,18.06768350810296,5.893879578588194
170,6,-81,6,5002.0,Region_5002.0,15.709833422890924,-74.44922084900591,8.019344438473937,11.885761420564696
171,-26,-90,3,5201.0,Region_5201.0,-32.617125382263,-82.02140672782875,14.767584097859327,15.68184729002031
172,-33,-79,-13,5301.0,Region_5301.0,-36.48246546227418,-79.56854410201913,-9.164718384697132,5.21154422033944
173,37,-81,1,5302.0,Region_5302.0,37.870576339737106,-83.19110212335693,-8.99292214357937,10.26729393004448
174,-44,2,46,2001.0,Region_2001.0,-38.93023255813952,-6.961429381735684,49.64038570618264,10.920721888600728
175,48,25,27,2302.0,Region_2302.0,49.92709077912795,13.675482487491053,20.19585418155826,13.35120878724994
176,-47,11,23,2301.0,Region_2301.0,-48.79576107899808,11.49132947976878,17.801541425818883,5.521787215930309
177,-53,-49,43,6201.0,Region_6201.0,-43.10666121781773,-47.01920719248059,45.42296689824275,10.376534151407803
178,-23,11,64,2401.0,Region_2401.0,-5.690731252911036,3.550069864927792,60.06427573358175,19.25103033808012
179,58,-53,-14,8202.0,Region_8202.0,57.15990020412792,-38.565661147652534,-2.7752324790201897,18.30440689209719
180,24,45,-15,2112.0,Region_2112.0,18.17853560682046,46.61785356068205,-15.494483450351055,6.062294261048361
181,34,54,-13,2212.0,Region_2212.0,32.89458128078818,51.27487684729064,-12.141871921182265,3.0634344357064194
182,-21,41,-20,2111.0,Region_2111.0,-16.824506749740394,45.919003115264786,-14.718587746625133,8.338144333186275
183,-18,-76,-24,9041.0,Region_9041.0,-22.525383707201883,-60.25855962219599,-23.480519480519483,16.38724817885805
184,17,-80,-34,9140.0,Region_9140.0,1.865979381443296,-73.1958762886598,-26.350515463917525,18.271543263498195
185,35,-67,-34,9002.0,Region_9002.0,38.21450151057402,-68.37160120845923,-30.849697885196377,4.705179406894664
186,47,10,33,2302.0,Region_2302.0,49.92709077912795,13.675482487491053,20.19585418155826,13.63903156697822
